timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/11 16:03:45.332, 0, 1, 0, 210, 405, 23.09, 30, 0x0000000000000001
2026/09/11 16:03:45.333, 1, 4, 0, 300, 5001, 70.51, 38, 0x0000000000000001
2026/09/11 16:03:45.333, 2, 1, 0, 210, 405, 22.71, 31, 0x0000000000000001
2026/09/11 16:03:45.333, 3, 1, 0, 210, 405, 23.93, 33, 0x0000000000000001
2026/09/11 16:03:45.333, 4, 1, 0, 210, 405, 25.29, 33, 0x0000000000000001
2026/09/11 16:03:45.333, 5, 1, 0, 210, 405, 22.71, 31, 0x0000000000000001
2026/09/11 16:03:45.834, 0, 1, 0, 210, 405, 23.09, 30, 0x0000000000000001
2026/09/11 16:03:45.834, 1, 4, 0, 300, 5001, 70.51, 38, 0x0000000000000001
2026/09/11 16:03:45.834, 2, 1, 0, 210, 405, 21.66, 31, 0x0000000000000001
2026/09/11 16:03:45.835, 3, 1, 0, 210, 405, 22.86, 32, 0x0000000000000001
2026/09/11 16:03:45.835, 4, 1, 0, 210, 405, 24.29, 33, 0x0000000000000001
2026/09/11 16:03:45.835, 5, 1, 0, 210, 405, 21.99, 31, 0x0000000000000001
2026/09/11 16:03:46.335, 0, 1, 0, 210, 405, 22.28, 30, 0x0000000000000001
2026/09/11 16:03:46.336, 1, 4, 0, 210, 5001, 67.41, 38, 0x0000000000000001
2026/09/11 16:03:46.336, 2, 1, 0, 210, 405, 21.66, 31, 0x0000000000000001
2026/09/11 16:03:46.336, 3, 1, 0, 210, 405, 22.86, 32, 0x0000000000000001
2026/09/11 16:03:46.336, 4, 1, 0, 210, 405, 24.29, 33, 0x0000000000000001
2026/09/11 16:03:46.336, 5, 1, 0, 210, 405, 21.99, 31, 0x0000000000000001
2026/09/11 16:03:46.837, 0, 1, 0, 210, 405, 22.28, 30, 0x0000000000000001
2026/09/11 16:03:46.837, 1, 4, 0, 210, 5001, 67.41, 38, 0x0000000000000001
2026/09/11 16:03:46.837, 2, 1, 0, 210, 405, 21.45, 31, 0x0000000000000001
2026/09/11 16:03:46.837, 3, 1, 0, 210, 405, 22.43, 32, 0x0000000000000001
2026/09/11 16:03:46.838, 4, 1, 0, 210, 405, 24.27, 32, 0x0000000000000001
2026/09/11 16:03:46.838, 5, 1, 0, 210, 405, 21.75, 31, 0x0000000000000001
2026/09/11 16:03:47.338, 0, 1, 0, 210, 405, 22.31, 30, 0x0000000000000001
2026/09/11 16:03:47.338, 1, 4, 0, 210, 5001, 66.69, 38, 0x0000000000000001
2026/09/11 16:03:47.339, 2, 1, 0, 210, 405, 21.45, 31, 0x0000000000000001
2026/09/11 16:03:47.339, 3, 1, 0, 210, 405, 22.43, 32, 0x0000000000000001
2026/09/11 16:03:47.339, 4, 1, 0, 210, 405, 24.27, 32, 0x0000000000000001
2026/09/11 16:03:47.339, 5, 1, 0, 210, 405, 21.75, 31, 0x0000000000000001
2026/09/11 16:03:47.840, 0, 1, 0, 210, 405, 22.31, 30, 0x0000000000000001
2026/09/11 16:03:47.840, 1, 4, 0, 210, 5001, 66.69, 38, 0x0000000000000001
2026/09/11 16:03:47.840, 2, 1, 0, 210, 405, 21.49, 31, 0x0000000000000001
2026/09/11 16:03:47.840, 3, 1, 0, 210, 405, 22.46, 32, 0x0000000000000001
2026/09/11 16:03:47.840, 4, 1, 0, 210, 405, 24.28, 32, 0x0000000000000001
2026/09/11 16:03:47.841, 5, 1, 0, 210, 405, 21.71, 31, 0x0000000000000001
2026/09/11 16:03:48.341, 0, 1, 0, 210, 405, 22.28, 30, 0x0000000000000001
2026/09/11 16:03:48.341, 1, 4, 0, 210, 810, 51.72, 38, 0x0000000000000001
2026/09/11 16:03:48.342, 2, 1, 0, 210, 405, 21.49, 31, 0x0000000000000001
2026/09/11 16:03:48.342, 3, 1, 0, 210, 405, 22.46, 32, 0x0000000000000001
2026/09/11 16:03:48.342, 4, 1, 0, 210, 405, 24.28, 32, 0x0000000000000001
2026/09/11 16:03:48.342, 5, 1, 0, 210, 405, 21.71, 31, 0x0000000000000001
2026/09/11 16:03:48.842, 0, 1, 0, 210, 405, 22.28, 29, 0x0000000000000001
2026/09/11 16:03:48.843, 1, 4, 0, 210, 810, 51.72, 38, 0x0000000000000001
2026/09/11 16:03:48.843, 2, 1, 0, 210, 405, 21.53, 31, 0x0000000000000001
2026/09/11 16:03:48.843, 3, 1, 0, 210, 405, 22.61, 32, 0x0000000000000001
2026/09/11 16:03:48.843, 4, 1, 0, 210, 405, 24.26, 32, 0x0000000000000001
2026/09/11 16:03:48.843, 5, 1, 0, 210, 405, 21.84, 30, 0x0000000000000001
2026/09/11 16:03:49.344, 0, 1, 0, 210, 405, 22.35, 29, 0x0000000000000001
2026/09/11 16:03:49.344, 1, 4, 0, 210, 810, 30.45, 35, 0x0000000000000001
2026/09/11 16:03:49.344, 2, 1, 0, 210, 405, 21.53, 31, 0x0000000000000001
2026/09/11 16:03:49.345, 3, 1, 0, 210, 405, 22.61, 32, 0x0000000000000001
2026/09/11 16:03:49.345, 4, 1, 0, 210, 405, 24.26, 32, 0x0000000000000001
2026/09/11 16:03:49.345, 5, 1, 0, 210, 405, 21.84, 30, 0x0000000000000001
2026/09/11 16:03:49.845, 0, 1, 0, 210, 405, 22.35, 29, 0x0000000000000001
2026/09/11 16:03:49.845, 1, 4, 0, 210, 810, 30.45, 35, 0x0000000000000001
2026/09/11 16:03:49.846, 2, 1, 0, 210, 405, 21.63, 31, 0x0000000000000001
2026/09/11 16:03:49.846, 3, 1, 0, 210, 405, 22.49, 32, 0x0000000000000001
2026/09/11 16:03:49.846, 4, 1, 0, 210, 405, 24.26, 32, 0x0000000000000001
2026/09/11 16:03:49.846, 5, 1, 0, 210, 405, 21.80, 30, 0x0000000000000001
2026/09/11 16:03:50.346, 0, 1, 0, 210, 405, 22.28, 29, 0x0000000000000001
2026/09/11 16:03:50.346, 1, 4, 0, 210, 405, 22.19, 35, 0x0000000000000001
2026/09/11 16:03:50.347, 2, 1, 0, 210, 405, 21.63, 31, 0x0000000000000001
2026/09/11 16:03:50.347, 3, 1, 0, 210, 405, 22.49, 32, 0x0000000000000001
2026/09/11 16:03:50.347, 4, 1, 0, 210, 405, 24.26, 32, 0x0000000000000001
2026/09/11 16:03:50.347, 5, 1, 0, 210, 405, 21.80, 30, 0x0000000000000001
2026/09/11 16:03:50.847, 0, 1, 0, 210, 405, 22.28, 29, 0x0000000000000001
2026/09/11 16:03:50.848, 1, 4, 0, 210, 405, 22.19, 35, 0x0000000000000001
2026/09/11 16:03:50.848, 2, 1, 0, 210, 405, 21.65, 31, 0x0000000000000001
2026/09/11 16:03:50.848, 3, 1, 0, 210, 405, 22.44, 32, 0x0000000000000001
2026/09/11 16:03:50.848, 4, 1, 0, 210, 405, 24.07, 32, 0x0000000000000001
2026/09/11 16:03:50.849, 5, 1, 0, 210, 405, 21.84, 31, 0x0000000000000001
2026/09/11 16:03:51.349, 0, 1, 0, 210, 405, 22.29, 29, 0x0000000000000001
2026/09/11 16:03:51.349, 1, 4, 0, 210, 405, 19.95, 34, 0x0000000000000001
2026/09/11 16:03:51.349, 2, 1, 0, 210, 405, 21.65, 31, 0x0000000000000001
2026/09/11 16:03:51.350, 3, 1, 0, 210, 405, 22.44, 32, 0x0000000000000001
2026/09/11 16:03:51.350, 4, 1, 0, 210, 405, 24.07, 32, 0x0000000000000001
2026/09/11 16:03:51.350, 5, 1, 0, 210, 405, 21.84, 31, 0x0000000000000001
2026/09/11 16:03:51.850, 0, 1, 0, 210, 405, 22.29, 29, 0x0000000000000001
2026/09/11 16:03:51.851, 1, 4, 0, 210, 405, 19.95, 34, 0x0000000000000001
2026/09/11 16:03:51.851, 2, 1, 0, 210, 405, 21.64, 31, 0x0000000000000001
2026/09/11 16:03:51.851, 3, 1, 0, 210, 405, 22.50, 32, 0x0000000000000001
2026/09/11 16:03:51.851, 4, 1, 0, 210, 405, 23.89, 32, 0x0000000000000001
2026/09/11 16:03:51.851, 5, 1, 0, 210, 405, 21.99, 31, 0x0000000000000001
2026/09/11 16:03:52.352, 0, 1, 0, 210, 405, 22.38, 29, 0x0000000000000001
2026/09/11 16:03:52.352, 1, 4, 0, 210, 405, 19.55, 34, 0x0000000000000001
