timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/12 02:12:03.821, 2, 1, 0, 210, 405, 30.27, 37, 0x0000000000000001
2026/09/12 02:12:03.821, 3, 15172, 61, 1440, 9501, 266.82, 75, 0x0000000000000020
2026/09/12 02:12:03.821, 4, 1, 0, 210, 405, 34.03, 37, 0x0000000000000001
2026/09/12 02:12:03.822, 5, 1, 0, 210, 405, 29.58, 37, 0x0000000000000001
2026/09/12 02:12:04.322, 0, 1, 0, 210, 405, 23.62, 37, 0x0000000000000001
2026/09/12 02:12:04.322, 1, 4, 0, 510, 5001, 87.85, 44, 0x0000000000000001
2026/09/12 02:12:04.322, 2, 1, 0, 210, 405, 22.26, 37, 0x0000000000000001
2026/09/12 02:12:04.323, 3, 15172, 96, 1545, 9501, 261.85, 75, 0x0000000000000020
2026/09/12 02:12:04.323, 4, 1, 0, 210, 405, 25.90, 37, 0x0000000000000001
2026/09/12 02:12:04.323, 5, 1, 0, 210, 405, 23.09, 37, 0x0000000000000001
2026/09/12 02:12:04.823, 0, 1, 0, 210, 405, 23.62, 37, 0x0000000000000001
2026/09/12 02:12:04.824, 1, 4, 0, 300, 810, 67.11, 42, 0x0000000000000001
2026/09/12 02:12:04.824, 2, 1, 0, 210, 405, 22.26, 37, 0x0000000000000001
2026/09/12 02:12:04.824, 3, 15172, 96, 1545, 9501, 268.77, 75, 0x0000000000000020
2026/09/12 02:12:04.824, 4, 1, 0, 210, 405, 25.90, 37, 0x0000000000000001
2026/09/12 02:12:04.824, 5, 1, 0, 210, 405, 23.09, 37, 0x0000000000000001
2026/09/12 02:12:05.325, 0, 1, 0, 210, 405, 22.49, 36, 0x0000000000000001
2026/09/12 02:12:05.325, 1, 4, 0, 300, 810, 67.11, 42, 0x0000000000000001
2026/09/12 02:12:05.325, 2, 1, 0, 210, 405, 21.49, 36, 0x0000000000000001
2026/09/12 02:12:05.325, 3, 15172, 96, 1560, 9501, 273.14, 75, 0x0000000000000020
2026/09/12 02:12:05.325, 4, 1, 0, 210, 405, 24.62, 37, 0x0000000000000004
2026/09/12 02:12:05.325, 5, 1, 0, 210, 405, 22.38, 36, 0x0000000000000001
2026/09/12 02:12:05.826, 0, 1, 0, 210, 405, 22.49, 36, 0x0000000000000001
2026/09/12 02:12:05.826, 1, 4, 0, 210, 810, 36.54, 41, 0x0000000000000001
2026/09/12 02:12:05.826, 2, 1, 0, 210, 405, 21.49, 36, 0x0000000000000001
2026/09/12 02:12:05.826, 3, 15172, 96, 1560, 9501, 275.72, 75, 0x0000000000000020
2026/09/12 02:12:05.826, 4, 1, 0, 210, 405, 24.62, 37, 0x0000000000000004
2026/09/12 02:12:05.826, 5, 1, 0, 210, 405, 22.38, 36, 0x0000000000000001
2026/09/12 02:12:06.326, 0, 1, 0, 210, 405, 22.19, 36, 0x0000000000000001
2026/09/12 02:12:06.327, 1, 4, 0, 210, 810, 36.54, 41, 0x0000000000000001
2026/09/12 02:12:06.327, 2, 1, 0, 210, 405, 21.43, 36, 0x0000000000000001
2026/09/12 02:12:06.327, 3, 15172, 96, 1560, 9501, 277.58, 75, 0x0000000000000020
2026/09/12 02:12:06.327, 4, 1, 0, 210, 405, 24.33, 36, 0x0000000000000004
2026/09/12 02:12:06.328, 5, 1, 0, 210, 405, 22.48, 36, 0x0000000000000001
2026/09/12 02:12:06.828, 0, 1, 0, 210, 405, 22.19, 36, 0x0000000000000001
2026/09/12 02:12:06.828, 1, 4, 0, 210, 405, 22.69, 41, 0x0000000000000001
2026/09/12 02:12:06.828, 2, 1, 0, 210, 405, 21.43, 36, 0x0000000000000001
2026/09/12 02:12:06.828, 3, 14878, 0, 1725, 9501, 265.34, 72, 0x0000000000000024
2026/09/12 02:12:06.829, 4, 1, 0, 210, 405, 24.33, 36, 0x0000000000000004
2026/09/12 02:12:06.829, 5, 1, 0, 210, 405, 22.48, 36, 0x0000000000000001
2026/09/12 02:12:07.329, 0, 1, 0, 210, 405, 22.13, 36, 0x0000000000000001
2026/09/12 02:12:07.329, 1, 4, 0, 210, 405, 22.69, 41, 0x0000000000000001
2026/09/12 02:12:07.330, 2, 1, 0, 210, 405, 21.62, 36, 0x0000000000000001
2026/09/12 02:12:07.330, 3, 14880, 93, 1635, 9501, 262.62, 75, 0x0000000000000004
2026/09/12 02:12:07.330, 4, 1, 0, 210, 405, 24.33, 36, 0x0000000000000004
2026/09/12 02:12:07.330, 5, 1, 0, 210, 405, 22.37, 36, 0x0000000000000001
2026/09/12 02:12:07.831, 0, 1, 0, 210, 405, 22.13, 36, 0x0000000000000001
2026/09/12 02:12:07.831, 1, 4, 0, 210, 405, 20.30, 40, 0x0000000000000001
2026/09/12 02:12:07.831, 2, 1, 0, 210, 405, 21.62, 36, 0x0000000000000001
